title,author,price,format,link
Twisted Love (Twisted Series #1) (09/27/2022),by Ana Huang,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/twisted-love-ana-huang/1141060121;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728274867
Verity (10/26/2021),by Colleen Hoover,"
$13.99","
Paperback",https://www.barnesandnoble.com/w/verity-colleen-hoover/1130171830;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781538724736
Twisted Hate (Twisted Series #3) (09/27/2022),by Ana Huang,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/twisted-hate-ana-huang/1141060116;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728274881
It Ends with Us (08/02/2016),by Colleen Hoover,"
$12.99","
Paperback",https://www.barnesandnoble.com/w/it-ends-with-us-colleen-hoover/1122858647;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781501110368
One Dark Window (09/27/2022),by Rachel Gillig,"
$18.99","
Paperback",https://www.barnesandnoble.com/w/one-dark-window-rachel-gillig/1139653639;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9780316312486
The In-Between: Unforgettable Encounters During Life's Final Moments (06/13/2023),by Hadley Vlahos R.N.,"
$24.30","
Hardcover",https://www.barnesandnoble.com/w/the-in-between-hadley-vlahos-rn/1142242368;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9780593499931
Glow: 90 Days to Create Your Vibrant Life from Within (07/04/2023),by Stacie Stephenson,"
$22.99","
Hardcover",https://www.barnesandnoble.com/w/glow-dr-stacie-stephenson/1142714154;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781400240135
Happy Place (B&N Exclusive Edition) (04/25/2023),by Emily Henry,"
$21.99","
Hardcover",https://www.barnesandnoble.com/w/happy-place-emily-henry/1141876774;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9780593639672
Daughter of the Pirate King (Daughter of the Pirate King Series #1) (01/02/2018),by Tricia Levenseller,"
$9.99","
Paperback",https://www.barnesandnoble.com/w/daughter-of-the-pirate-king-tricia-levenseller/1123107057;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781250144225
Haunting Adeline (01/26/2022),by H. D. Carlton,"
$24.32","
Paperback",https://www.barnesandnoble.com/w/haunting-adeline-h-d-carlton/1138639115;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9798765520994
Heir of Fire (Throne of Glass Series #3) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/heir-of-fire-maas-sarah-j/1141902148;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781639730995
A Court of Silver Flames (A Court of Thorns and Roses Series #4) (09/06/2022),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/a-court-of-silver-flames-sarah-j-maas/1137236764;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781635577990
Daughter of the Siren Queen (Daughter of the Pirate King Series #2) (02/26/2019),by Tricia Levenseller,"
$11.99","
Paperback",https://www.barnesandnoble.com/w/daughter-of-the-siren-queen-tricia-levenseller/1125855914;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781250294609
Queen of Shadows (Throne of Glass Series #4) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/queen-of-shadows-maas-sarah-j/1141902149;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781639731015
The Serpent and the Wings of Night (08/30/2022),by Carissa Broadbent,"
$24.99","
Hardcover",https://www.barnesandnoble.com/w/the-serpent-and-the-wings-of-night-carissa-broadbent/1142009611;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781957779003
Twisted Lies (Twisted Series #4) (09/27/2022),by Ana Huang,"
$17.99","
Paperback",https://www.barnesandnoble.com/w/twisted-lies-ana-huang/1141710330;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781728274898
Crown of Midnight (Throne of Glass Series #2) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/crown-of-midnight-maas-sarah-j/1141902142;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781639730971
Throne of Glass (Throne of Glass Series #1) (02/14/2023),by Sarah J. Maas,"
$19.00","
Paperback",https://www.barnesandnoble.com/w/throne-of-glass-maas-sarah-j/1141902141;jsessionid=1CC4EDA86E708DC822E3B3E99BE00EC8.prodny_store02-atgap11?ean=9781639730957
Demon Copperhead (Pulitzer Prize Winner) (Oprah's Book Club Pick) (10/18/2022),by Barbara Kingsolver,"
$24.99","
Hardcover",https://www.barnesandnoble.com/w/demon-copperhead-barbara-kingsolver/1140860121;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9780063251922
The Covenant of Water (Oprah's Book Club) (05/02/2023),by Abraham Verghese,"
$24.99","
Hardcover",https://www.barnesandnoble.com/w/covenant-of-water-abraham-verghese/1142363849;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9780802162175
There Are Moms Way Worse Than You: Irrefutable Proof That You Are Indeed a Fantastic Parent (03/29/2022),"by Glenn Boozan, Priscilla Witte (Illustrator)","
$12.99","
Hardcover",https://www.barnesandnoble.com/w/there-are-moms-way-worse-than-you-glenn-boozan/1139774469;jsessionid=A8B1748F4515151A7335DE5B4276BE7D.prodny_store02-atgap05?ean=9781523515646
